ID,Bug ID,Blocking Bug ID,Blocked Bug ID,Reason,Measure
362,Eclipse,174968,174818,R3,M2
363,Eclipse,72374,72977,R3,M1
364,Eclipse,31740,29787,R1,M1
365,Eclipse,86862,82986,R3,M1
366,Eclipse,443346,443082,R3,M2
367,Eclipse,470616,470613,R1,M1
368,Eclipse,105761,105609,R1,M1
369,Eclipse,481485,494883,R1,M2
370,Eclipse,428679,330938,R1,M1
371,Eclipse,139039,139499,R1,M1
372,Eclipse,148274,148137,R2,M2
373,Eclipse,442103,489618,R2,M3
374,Eclipse,514776,496923,R3,M2
375,Eclipse,202470,201718,R1,M2
